route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
VSD34,VSD34,HARBOUR - GOA UNVRSTY via CORTALIM,3,,,ktcl-goa-in
VSD7,VSD7,HARBOUR - PONDA via CORTALIM,3,,,ktcl-goa-in
PRV206,PRV206,HARMAL - PATRADEVI,3,,,ktcl-goa-in
PRV229,PRV229,HASAPUR - PATRADEVI,3,,,ktcl-goa-in
MRG173E,MRG173E,HURBOUR - PANAJI via CORTALIM,3,00b33c,,ktcl-goa-in
PRV83,PRV83,IBRAMPUR - VALPOI via ADVOI,3,,,ktcl-goa-in
PRV84,PRV84,IBRAMPUR - VALPOI via BICHOLIM,3,,,ktcl-goa-in
MRG200,MRG200,KAMORCOND - MARGAO,3,,,ktcl-goa-in
PNJ179,PNJ179,KUDCHRE TMP - HRVL SIYA G via SANKHALI,3,,,ktcl-goa-in
VSD6,VSD6,HARBOUR - MARGAO via CORTALIM,3,,,ktcl-goa-in
PRV140S,PRV140S,MAPUSA - FATORDA via PANAJI,3,,,ktcl-goa-in
PNJ89S,PNJ89S,MAPUSA - FATORPA TMP,3,,,ktcl-goa-in
PRV184,PRV184,MAPUSA - SALVADOR,3,,,ktcl-goa-in
PNJ57,PNJ57,MAPUSA - SIOLIM TAR via MARNA,3,,,ktcl-goa-in
PRV145IS,PRV145IS,MAPUSA - TEREKHOL,3,,,ktcl-goa-in
PRV18,PRV18,MAPUSA - VALPOI via BICHOLIM,3,,,ktcl-goa-in
PRV68,PRV68,MAPUSA - VARPAL via ALDONA,3,,,ktcl-goa-in
PRV207IS,PRV207IS,MAPUSA - ZOLAMBE,3,,,ktcl-goa-in
PRV178,PRV178,MAPUSA - QUITLA via ALDONA,3,,,ktcl-goa-in
PNJ39,PNJ39,MARCEL - VOLVOI via BETKI,3,,,ktcl-goa-in
PNJ198,PNJ198,DHARBANDORA - SANKHALI,3,,,ktcl-goa-in
PRV179,PRV179,MAPUSA - QUITLA,3,,,ktcl-goa-in
PRV190,PRV190,MAPUSA - PATRADEVI via KULAN,3,,,ktcl-goa-in
PRV67,PRV67,MAPUSA - GOLJUVEM via ALDONA,3,,,ktcl-goa-in
PNJ56,PNJ56,MAPUSA - HARMAL via SIOLIM,3,,,ktcl-goa-in
PRV115,PRV115,MAPUSA - KAIRAT,3,,,ktcl-goa-in
PRV69,PRV69,MAPUSA - MADEL via ALDONA,3,,,ktcl-goa-in
PRV228,PRV228,MAPUSA - PEDNE,3,,,ktcl-goa-in
PRV91,PRV91,MAPUSA - MADKAI via DADACHIWADI,3,,,ktcl-goa-in
PRV231,PRV231,MAPUSA - MAPUSA,3,,,ktcl-goa-in
PRV208,PRV208,MAPUSA - MENKURE,3,,,ktcl-goa-in
PRV191,PRV191,MAPUSA - NETARDE,3,,,ktcl-goa-in
PRV205S,PRV205S,MAPUSA - PANAJI,3,,,ktcl-goa-in
PRV134S,PRV134S,MAPUSA - PANAJI MKT,3,,,ktcl-goa-in
PRV221,PRV221,MAPUSA - PATRADEVI,3,,,ktcl-goa-in
PRV101,PRV101,MAPUSA - MANDRE MDMZ via ARABO,3,,,ktcl-goa-in
MRG116,MRG116,CURCHOREM - VAGON,3,,,ktcl-goa-in
PRV19,PRV19,BICHOLIM - PONDA via MARCEL,3,,,ktcl-goa-in
MRG195E,MRG195E,CALANGUTE - MOPA AIRPORT,3,00b33c,,ktcl-goa-in
MRG47,MRG47,CANACONA - CAB.DE.RAM,3,,,ktcl-goa-in
MRG47MB,MRG47MB,CANACONA - CAB.DE.RAM,3,cc33ff,,ktcl-goa-in
PNJ22,PNJ22,BICHOLIM - PANAJI,3,,,ktcl-goa-in
MRG316MB,MRG316MB,CANACONA - GAODONGRI,3,cc33ff,,ktcl-goa-in
MRG346MB,MRG346MB,CANACONA - INDRAWADO,3,cc33ff,,ktcl-goa-in
MRG317MB,MRG317MB,CANACONA - KHOLA,3,cc33ff,,ktcl-goa-in
